Title,Company,Salary,Location,Skills
Backend Developer,Panowie Programiści,13 000 - 16 000 plnNew,Warszawa,"PostgreSQL, Django Rest Framework, Python"
Senior Data Analyst,hubQuest,20 000 - 26 000 plnNew,Warszawa,"Analytics, SQL, Power BI and/or Tableau"
Senior Backend Engineer,Kalepa,35 386 - 51 113 plnNew,Warszawa,"REST API, SQL, Python"
Senior Machine Learning Engineer,Kalepa,35 386 - 51 113 plnNew,Warszawa,"Python, Machine Learning, SQL"
Fullstack Python Developer,Kyotu Technology,21 840 - 26 800 plnNew,Wrocław,"Python, Django, PostgreSQL"
Senior Fullstack Developer (Python | React | Terraform),1dea,27 720 - 31 920 plnNew,Gdańsk,"Python, English, TypeScript"
Python Developer,BlockWise,12 000 - 18 000 plnNew,Warszawa,Python
Python Developer,DAC.digital,27 000 - 32 000 plnNew,Gdańsk,"Python, Django"
"Fullstack Developer (Python, React)",ITLT,11 760 - 23 500 plnNew,Warszawa,"Python, React, PostgreSQL"
Python  Developer,GreenMinds Sp. z o.o.,22 000 - 24 000 plnNew,Warszawa,"Algorithms, Python, CI/CD"
Financial Data Engineer,SoftKraft,15 120 - 19 320 plnNew,Bielsko-Biała,"Python, SQL, Git"
Senior Python Developer,Fujitsu,97 - 149 plnNew,Łódź,"Linux, Python, Perl"
Lead Python Backend Engineer,Reef Technologies,54 600 - 65 520 plnNew,Poland (Remote),"Backend, Python, Databases"
Software Engineer (GenAI - Innovation Team),ArdentCode,17 000 - 24 000 plnNew,Warszawa,"Algorithms, Python, Docker"
Staff Software Engineer (Privacy Engineering),Affirm,29 830 - 38 170 plnNew,Katowice,"Databases, Backend, AWS"
Software Engineer I (Deal Reporting),Affirm,17 085 - 23 750 plnNew,Warszawa,Python
Expert Python Developer,Ciklum,28 066 - 29 361 plnNew,Gdańsk,"Python, AWS, Docker"
Python Developer,Advox Studio,8 000 - 14 500 plnNew,Poznań,"Python 3.x, Django Rest Framework, Django"
Senior Back-End Developer (SIEM) 29606,Splunk,20 666 - 28 416 plnNew,Kraków,"RESTful, Python, AWS"
Backend Engineer,Kalepa,23 591 - 35 386 plnNew,Warszawa,"REST API, SQL, Python"
Python Developer- Remote/Wroclaw,Sofomo,17 000 - 22 000 plnNew,Wrocław,"Python, Proactivity, AWS"
Data Engineer (Expert),VirtusLab,26 000 - 31 000 plnNew,Kraków,"Apache Airflow, Python, English"
Data Engineer,Appfire,10 000 - 15 000 plnNew,Warszawa,"ETL Development, Python, SQL"
Python Engineer,Adverity,17 271 - 21 589 plnNew,Katowice,"Python, Django, English"
Senior Data Scientist,Team Up,25 200 plnNew,Warszawa,"Python, Azure, NLP"
Senior Data Engineer,Team Up,25 200 plnNew,Warszawa,"Python, NLP, Azure"
Python developer to Labs team,Planner 5D,17 271 - 21 589 plnNew,Wilno,"Python, Flask, fastapi"
